2.907: [GC [PSYoungGen: 131072K->11503K(152896K)] 131072K->11503K(502464K), 0.0195520 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
4.163: [GC [PSYoungGen: 142575K->20859K(152896K)] 142575K->20859K(502464K), 0.0334840 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
4.749: [GC [PSYoungGen: 65628K->21818K(152896K)] 65628K->28833K(502464K), 0.0362960 secs] [Times: user=0.12 sys=0.01, real=0.03 secs] 
4.786: [Full GC (System) [PSYoungGen: 21818K->0K(152896K)] [PSOldGen: 7015K->28757K(349568K)] 28833K->28757K(502464K) [PSPermGen: 19087K->19087K(38400K)], 0.2078520 secs] [Times: user=0.20 sys=0.01, real=0.21 secs] 
6.069: [GC [PSYoungGen: 131072K->12366K(283968K)] 159829K->41124K(633536K), 0.0232430 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
8.250: [GC [PSYoungGen: 274510K->21821K(283968K)] 303268K->62790K(633536K), 0.0461810 secs] [Times: user=0.13 sys=0.01, real=0.04 secs] 
9.439: [GC [PSYoungGen: 283965K->21821K(285824K)] 324934K->71834K(635392K), 0.0592210 secs] [Times: user=0.21 sys=0.00, real=0.06 secs] 
12.361: [GC [PSYoungGen: 285821K->42748K(306752K)] 335834K->119007K(656320K), 0.1059680 secs] [Times: user=0.26 sys=0.04, real=0.10 secs] 
14.229: [GC [PSYoungGen: 306748K->42746K(253376K)] 383007K->129530K(602944K), 0.0619710 secs] [Times: user=0.21 sys=0.01, real=0.06 secs] 
15.248: [GC [PSYoungGen: 253370K->49969K(260608K)] 340154K->149406K(610176K), 0.0682100 secs] [Times: user=0.21 sys=0.01, real=0.06 secs] 
15.966: [GC [PSYoungGen: 260593K->24636K(279232K)] 360030K->150705K(628800K), 0.0570720 secs] [Times: user=0.17 sys=0.02, real=0.06 secs] 
16.817: [GC [PSYoungGen: 231420K->16661K(223488K)] 357489K->148547K(573056K), 0.0240400 secs] [Times: user=0.06 sys=0.01, real=0.03 secs] 
17.800: [GC [PSYoungGen: 223445K->12623K(276800K)] 355331K->146512K(626368K), 0.0210410 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
18.756: [GC [PSYoungGen: 219983K->11296K(276224K)] 353872K->147276K(625792K), 0.0259440 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
19.918: [GC [PSYoungGen: 218656K->5834K(279552K)] 354636K->143532K(629120K), 0.0170110 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
21.345: [GC [PSYoungGen: 217290K->19447K(230912K)] 354988K->159659K(580480K), 0.0323540 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
27.386: [GC [PSYoungGen: 230903K->15610K(280512K)] 371115K->160826K(630080K), 0.0306080 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
